series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score
KXTEMPNYCH,312,698,54.0,3.0,20.0,0.0,5.52,8.9,14746,19703,2.4199249808167944
KXLOWTAUS,6,698,78.4,3.0,28.0,6.0,9.23,5.0,20358,15947,2.3265706789618057
KXLOWTATL,6,698,71.3,3.0,13.0,5.0,8.71,1.9,11627,9182,2.3101667738634077
KXLOWTSFO,6,698,57.4,3.0,8.0,7.0,6.81,3.3,6458,5405,2.1584882810209516
KXLOWTCHI,6,698,52.4,3.0,4.0,7.0,7.27,2.4,15307,10444,2.048601467993906
KXLOWTMIN,6,698,63.5,5.0,9.5,4.2,14.74,7.1,15977,11943,1.817874296758593
KXLOWTPHX,6,698,47.5,2.0,35.0,8.0,5.14,2.7,18225,10680,1.756230583758076
KXLOWTSATX,6,698,74.0,2.0,17.0,6.0,9.59,3.1,7881,5023,1.33647409918135
KXPGAR1LEAD,15,698,5.5,4.3,36.8,25.0,1.82,0.7,2103,1903,1.0558256036236011
KXZEC15M,38,556,97.7,4.6,35.0,40.7,18.58,57.8,29297,62873,1.0113643209619219
KXNEAR15M,38,556,96.6,4.0,43.0,32.7,18.09,61.0,21262,70046,0.8620936526758132
KXSHIBA,28,685,6.6,5.0,100.0,100.0,3.6,0.3,1550,1434,0.726915306277616
KXXRP,790,698,7.0,5.0,100.0,100.0,3.67,8.8,3879,3999,0.6769273391284083
KXLOWTNYC,6,698,37.5,2.0,17.0,8.0,11.61,6.5,25168,21346,0.580991540992435
KXBNB,790,698,10.8,5.0,100.0,100.0,4.91,13.3,416,410,0.5281070033021541
KXDOGE15M,38,556,95.5,2.0,249.0,103.3,17.42,59.3,180410,202083,0.5071667642957692
KXWNBAOT,3,698,100.0,2.0,32.0,10.0,11.01,0.1,8,7,0.5021427492707675
KXBNB15M,38,556,96.4,2.0,212.6,101.5,19.07,61.9,168446,198793,0.4534433632641806
KXBTC,1960,698,7.6,3.0,500.0,644.0,5.46,11.7,217858,150466,0.3961537625559179
KXHYPE,790,698,10.2,5.0,100.0,100.0,8.0,17.0,548,781,0.30367520304801804
KXETH,790,698,5.8,5.0,5000.0,260.0,8.82,21.7,12527,9981,0.1995825004966421
KXSOLE,825,698,6.3,5.0,100.0,100.0,8.81,19.7,2527,2705,0.19243196884341943
KXPGAR2LEAD,312,698,0.3,27.0,10.0,5.0,0.33,0.0,31,31,0.18644106268761895
KXDOGE,553,698,6.6,5.0,41.0,100.0,11.21,23.8,4638,3872,0.155418818771548
KXCYCLINGJERSEY,368,698,1.2,97.0,5000.0,80.0,9.54,0.1,4,4,0.04133306829203371
KXXRPD,790,698,53.5,1.0,28304.0,0.0,0.28,0.4,16238,18161,0.0
KXDOGED,553,698,33.7,1.0,24300.0,0.0,0.93,1.9,5388,4228,0.0
KXSHIBAD,28,362,30.3,1.0,6500.0,0.0,0.39,0.0,0,0,0.0
KXWCTOTAL,14,698,99.6,1.0,2408.0,2081.2,0.3,0.0,388268,244336,0.0
KXBNBD,790,698,52.6,1.0,5438.0,0.0,0.59,0.7,1119,1641,0.0
KXHYPED,790,698,45.4,1.0,20300.0,0.0,0.63,1.0,5952,6760,0.0
KXSOLD,825,698,53.5,1.0,23789.0,0.0,0.84,1.1,122081,120074,0.0
KXAFLGAME,4,25,100.0,1.0,1954.0,1273.0,0.29,0.0,984,978,0.0
KXETHD,790,698,53.1,1.0,31845.0,0.0,0.59,1.2,457123,342529,0.0
KXBTCD,1960,698,56.9,1.0,14133.0,0.0,1.03,2.2,14767533,6104991,0.0
KXWCADVANCE,4,693,100.0,1.0,14772.7,1659736.5,0.61,0.2,2518634,2336239,0.0
KXMLBSPREAD,101,698,99.3,1.0,1396.0,1400.0,3.33,4.8,606030,405269,0.0
KXHYPE15M,38,556,96.8,1.0,21.0,21.8,18.14,58.1,260248,293450,0.0
KXNPBGAME,18,587,100.0,53.0,5.0,151.0,2.46,3.8,0,0,0.0
KXPGAR3LEAD,312,698,0.5,75.0,251.0,261.0,3.38,0.3,0,0,0.0
KXPGAR3TOP10,312,698,14.2,88.0,10.0,10.0,1.79,0.0,0,0,0.0
KXHIGHCHI,6,698,88.9,1.0,29.9,21.0,2.7,0.5,32317,24673,0.0
KXPGAR2TOP10,312,698,75.5,97.0,10.0,5.0,0.16,0.0,0,0,0.0
KXXRP15M,38,556,94.6,1.0,28.6,17.5,17.95,63.7,220425,224104,0.0
KXSOL15M,38,556,96.0,1.0,11.0,12.0,18.85,61.6,243176,240234,0.0
KXETH15M,38,556,95.7,1.0,77.2,74.0,18.36,61.9,899754,794405,0.0
KXWCSPREAD,9,698,99.8,1.0,2414.0,6212.1,0.97,0.1,173245,234411,0.0
KXNBATEAMANNOUNCE,14,618,100.0,1.0,450.0,200.0,5.94,0.3,282,282,0.0
KXBTC15M,38,556,94.4,1.0,1030.2,736.7,17.84,61.4,19246582,11167106,0.0
KXWCGAME,6,693,100.0,1.0,16387.5,94202.6,0.19,0.0,149616,147670,0.0
KXPGATOUR,27,698,51.8,0.1,523.6,372.3,0.33,0.0,16524,16510,0.0
KXGOLFTOURN,90,619,3.9,21.0,500.0,500.0,0.43,0.0,0,0,0.0
KXHIGHNY,6,698,39.3,1.0,400.9,131.0,2.82,0.0,49077,38221,0.0
KXHIGHTMIN,6,698,100.0,1.0,23.0,10.0,4.02,0.3,8986,6073,0.0
KXHIGHAUS,6,698,90.0,1.0,157.0,24.0,3.02,0.6,21299,17104,0.0
KXHORMUZWEEKLY,9,698,100.0,1.0,186.0,193.0,1.38,0.0,6406,5784,0.0
KXLATENIGHTMENTION,14,698,65.7,1.0,50.0,50.0,11.96,4.3,113076,75465,0.0
KXLIUSAELIMINATION,13,138,7.7,1.0,298988.3,0.0,0.0,0.0,351029,296759,0.0
KXTOPMODEL,10,698,30.0,1.0,141.0,364.9,1.58,0.0,14983,12319,0.0
KXTECHRANKLISTAICODE,9,698,44.4,1.0,2028.8,4646.0,0.0,0.0,21272,19448,0.0
KXLLM1,8,698,37.5,1.0,2028.7,6402.4,0.12,0.0,32659,29964,0.0
KXLIUKELIMINATIONW,20,698,100.0,1.0,179.0,273.0,0.58,0.0,4524,4065,0.0
KXLIUKELIMINATION,21,138,4.8,1.0,226244.0,0.0,0.0,0.0,14297,11011,0.0
KXMLBHR,236,698,70.2,1.0,21.0,1063.0,4.57,3.2,968895,933633,0.0
KXNHLEAST,16,698,50.7,1.0,346.0,1.0,0.07,0.0,13,13,0.0
