series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score,tier
KXPGAMAKECUT,312,698,97.8,8.0,500.0,2049.0,0.32,0.1,8080,8323,75.70699354583199,S
KXPGAR1TOP10,312,698,66.6,95.0,10.0,5.0,0.24,0.0,427,427,67.44350367467823,S
KXKBOTOTAL,20,104,100.0,65.0,6.0,5.0,0.1,0.0,25,24,58.68034508142219,S
KXMLBMENTION,19,14,97.0,9.0,5.0,8.0,0.47,0.0,277,276,55.148847715303795,S
KXLMBGAME,38,592,100.0,92.0,10.0,733.0,0.24,0.0,18,18,54.16376868966336,S
KXKBOSPREAD,20,104,100.0,68.0,5.0,6.0,0.08,0.0,16,16,52.4476134219972,S
KXTESTMATCH,4,698,100.0,92.0,10.0,433.0,0.3,0.0,15,15,51.50980806727719,S
KXTSAW,21,188,100.0,5.0,5.0,1.0,0.23,0.0,2265,1601,41.301171458036485,S
KXNASCARTOP5,38,698,60.7,8.0,100.0,100.0,0.21,0.1,1749,1749,39.50756628408524,S
KXPGATOP20,312,698,63.7,5.0,1000.0,54.0,0.39,0.0,52598,52776,36.83541901454374,S
KXRUGBYESLMATCH,3,698,100.0,90.0,200.0,5.0,0.38,0.0,5,5,35.96842909197556,S
KXKBORFI,5,104,87.9,90.0,6.0,5.0,0.11,0.0,5,5,31.61624917184652,S
KXAMSAVO,7,698,85.8,6.0,200.0,200.0,0.27,0.0,84,84,26.40871858442398,S
KXECULPGAME,3,698,100.0,4.0,1300.0,1200.0,0.19,0.0,194,194,23.854317374473784,S
KXMLBEXTRAS,13,698,100.0,5.0,617.0,50.0,0.25,0.0,5,5,11.989476363991852,S
KXWTASETWINNER,8,698,100.0,2.0,800.0,800.0,0.49,0.0,164,164,11.592115501530744,S
KXWCTOTAL,14,698,99.6,1.0,2408.0,2081.2,0.3,0.0,388268,244336,0.0,S
KXAFLGAME,4,25,100.0,1.0,1954.0,1273.0,0.29,0.0,984,978,0.0,S
KXPGAR2TOP10,312,698,75.5,97.0,10.0,5.0,0.16,0.0,0,0,0.0,S
KXWCGAME,6,693,100.0,1.0,16387.5,94202.6,0.19,0.0,149616,147670,0.0,S
KXCFLTOTAL,5,698,100.0,85.0,100.0,10.0,0.18,0.0,0,0,0.0,S
KXWTAMATCH,4,698,100.0,1.0,3523.8,15374.8,0.24,0.0,15507,15209,0.0,S
KXHORMUZMAX,7,698,100.0,1.0,1071.0,327.0,0.0,0.0,0,0,0.0,S
KXRT,44,698,100.0,1.0,1150.6,1648.0,0.39,0.1,41828,36226,0.0,S
KXVOTEPRIMARY,4,698,100.0,1.0,1544.0,1318.0,0.0,0.0,756,756,0.0,S
KXCLAUDE,4,698,100.0,1.0,284.9,1172.0,0.28,0.0,983,717,0.0,S
KXPPLMATCH,20,698,100.0,96.0,10.0,10.0,0.02,0.0,0,0,0.0,S
KXMESENATEPERSON,14,698,87.0,0.1,949.6,476.9,0.49,0.0,188087,138097,0.0,S
KXGRAMMYNOMSOTY,4,698,100.0,94.0,22.0,5.0,0.25,0.0,0,0,0.0,S
KXFEAR,15,698,100.0,1.0,2193.3,1381.0,0.02,0.0,3489,2951,0.0,S
KXCHNSLGAME,3,698,100.0,5.0,1500.0,773.0,0.36,0.0,0,0,0.0,S
KXURYPDGAME,3,698,100.0,4.0,1219.0,1200.0,0.16,0.0,0,0,0.0,S
KXATPDOUBLES,4,698,100.0,5.0,500.0,117.0,1.01,0.0,1449,1425,39.424791847680446,A
KXR6MAP,8,698,100.0,4.0,1000.0,202.7,0.82,0.1,2590,2451,34.00023173578411,A
KXWCTEAMTOTAL,16,698,99.8,4.0,1009.0,1045.4,1.56,0.1,83873,52614,30.166791915789652,A
KXWC2H,6,698,100.0,5.0,600.0,605.0,1.41,0.2,2658,2252,29.959367433834036,A
KXOWGAME,8,698,95.1,6.0,500.0,200.0,1.67,0.0,1649,1649,27.680505313790594,A
KXWC1HTOTAL,8,698,100.0,2.0,450.0,400.0,1.04,0.1,3955,3266,17.03521589431207,A
